Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/07/2025,09/09/2025,WENDY'S # 5602,Food & Drink,Sale,-9.45,
09/06/2025,09/08/2025,PERFORMANCE FITNESS - ST,Entertainment,Sale,-37.35,
09/06/2025,09/07/2025,RAO*CA HUNT&amp;FISH,Bills & Utilities,Sale,-20.52,
09/05/2025,09/07/2025,McDonalds 26091,Food & Drink,Sale,-9.30,
09/05/2025,09/07/2025,BURGER KING #10527,Food & Drink,Sale,-4.30,
09/05/2025,09/07/2025,76 - ARMSCO INC,Gas,Sale,-6.11,
09/03/2025,09/05/2025,O'REILLY 6212,Automotive,Sale,-27.73,
09/04/2025,09/05/2025,HERTZ CAR RENTAL,Travel,Sale,-66.29,
09/03/2025,09/05/2025,CAFE RIO 0117 SANTA CLAR,Food & Drink,Sale,-13.13,
09/03/2025,09/04/2025,MS* UPTOWNOASISSANJOS,Travel,Sale,-86.56,
09/03/2025,09/04/2025,FEDEX OFFICE 800000836,Personal,Sale,-72.54,
09/04/2025,09/04/2025,PAYPAL *SCRINGPROPE CART,Professional Services,Sale,-7.00,
08/31/2025,09/02/2025,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-5.06,
08/31/2025,09/02/2025,CARLS JR 1101940,Food & Drink,Sale,-6.44,
08/30/2025,09/01/2025,CHICK-FIL-A #04568,Food & Drink,Sale,-6.87,
08/31/2025,09/01/2025,AUTOZONE #5955,Automotive,Sale,-27.73,
08/30/2025,09/01/2025,AAMC,Personal,Sale,-150.00,
08/30/2025,08/31/2025,1 Month Member Subscripti,Entertainment,Sale,-13.99,
08/29/2025,08/31/2025,ROCKY VISTA UNIVERSITY,Education,Sale,-18494.00,
08/29/2025,08/31/2025,FAMILY DOLLAR,Shopping,Sale,-8.76,
08/29/2025,08/31/2025,McDonalds 10803,Food & Drink,Sale,-4.51,
08/29/2025,08/31/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.35,
08/30/2025,08/31/2025,COSTCO WHSE #0672,Shopping,Sale,-109.10,
08/30/2025,08/31/2025,COSTCO WHSE #0672,Shopping,Sale,-7.51,
08/28/2025,08/29/2025,HONORSOCIETY.ORG,Education,Sale,-65.00,
08/27/2025,08/28/2025,DIGBY'S MARKET,Groceries,Sale,-2.05,
08/27/2025,08/28/2025,DIGBY'S MARKET,Groceries,Sale,-6.88,
08/28/2025,08/28/2025,AMAZON MKTPL*UB5UW45K3,Shopping,Sale,-27.55,
