Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/08/2024,09/09/2024,DIXIE STATE UNIVERSITY-MP,Education,Sale,-250.00,
09/07/2024,09/09/2024,VONS #2370,Groceries,Sale,-5.43,
09/07/2024,09/09/2024,CARLS JR 1100692,Food & Drink,Sale,-14.26,
09/07/2024,09/08/2024,76 - BARSTOW FUELS 76,Gas,Sale,-41.10,
09/07/2024,09/08/2024,BURGER KING #10527,Food & Drink,Sale,-11.83,
09/06/2024,09/08/2024,McDonalds 20759,Food & Drink,Sale,-8.50,
09/04/2024,09/06/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-13.13,
08/31/2024,09/05/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
09/01/2024,09/05/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
08/31/2024,09/05/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
09/03/2024,09/04/2024,HARMONS-SANTA CLARA,Groceries,Sale,-16.95,
09/03/2024,09/03/2024,Payment Thank You-Mobile,,Payment,421.16,
09/02/2024,09/03/2024,The Adobe Icebox,Food & Drink,Sale,-7.63,
09/02/2024,09/03/2024,LS IBB CYCLERY &amp; MULTI,Shopping,Sale,-489.43,
09/02/2024,09/03/2024,McDonalds 20759,Food & Drink,Sale,-5.39,
09/01/2024,09/02/2024,CHEVRON 0385252,Gas,Sale,-11.59,
08/30/2024,09/01/2024,SWITCHPOINT CRC,Shopping,Sale,-11.90,
08/30/2024,09/01/2024,DIGBY'S MARKET,Groceries,Sale,-25.61,
08/29/2024,09/01/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-13.02,
08/31/2024,09/01/2024,McDonalds 10803,Food & Drink,Sale,-5.39,
08/31/2024,09/01/2024,DIGBY'S MARKET,Groceries,Sale,-27.26,
08/26/2024,08/27/2024,McDonalds 20759,Food & Drink,Sale,-5.39,
08/25/2024,08/26/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-15.95,
08/25/2024,08/26/2024,DIGBY'S MARKET,Groceries,Sale,-15.51,
08/23/2024,08/25/2024,FAMILY DOLLAR,Shopping,Sale,-5.61,
08/24/2024,08/25/2024,COSTCO WHSE #0672,Shopping,Sale,-166.98,
08/24/2024,08/25/2024,COSTCO WHSE #0672,Shopping,Sale,-8.05,
08/23/2024,08/25/2024,DIGBY'S MARKET,Groceries,Sale,-33.44,
08/23/2024,08/25/2024,CARLS JR 1101940,Food & Drink,Sale,-13.34,
08/24/2024,08/25/2024,DIGBY'S MARKET,Groceries,Sale,-17.77,
08/24/2024,08/25/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
08/23/2024,08/25/2024,DIGBY'S MARKET,Groceries,Sale,-2.05,
08/22/2024,08/23/2024,McDonalds 10803,Food & Drink,Sale,-4.61,
08/21/2024,08/21/2024,Payment Thank You - Web,,Payment,544.82,
08/20/2024,08/21/2024,SQ *TUACAHN CONCESSIONS,Food & Drink,Sale,-5.00,
08/20/2024,08/21/2024,D.U.B.'S BBQ,Food & Drink,Sale,-25.40,
08/20/2024,08/21/2024,Pop Drinks Sunset Blvd,Food & Drink,Sale,-4.30,
08/19/2024,08/20/2024,TARGET        00013573,Shopping,Sale,-7.46,
08/19/2024,08/20/2024,TUACAHN CENTER,Entertainment,Sale,-104.00,
08/19/2024,08/20/2024,MICHAELS STORES 1601,Shopping,Sale,-5.33,
08/19/2024,08/20/2024,MAVERIK #620,Gas,Sale,-24.92,
08/19/2024,08/20/2024,MAVERIK #620,Gas,Sale,-8.20,
