Transaction Date,Description,Category,Type,Amount
7/26/2024,DIGBY'S MARKET,Groceries,Sale,-70.65
7/27/2024,TARGET        00013573,Shopping,Sale,-25.6
7/24/2024,BURGER KING #4447,Food & Drink,Sale,-2.4
7/25/2024,VendingCustomerService.co,Shopping,Sale,-7.58
7/25/2024,CHEVRON 0385252,Gas,Sale,-28.38
7/24/2024,CHICK-FIL-A TERM B SJC,Food & Drink,Sale,-19.29
7/23/2024,ST. GEORGE SHUTTLE,Travel,Sale,-71.48
7/24/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
7/21/2024,LITTLE CAESARS 1212 0003,Food & Drink,Sale,-22.47
7/21/2024,AMAZON MKTPL*RJ3HI0PB0,Shopping,Sale,-38.42
7/21/2024,McDonalds 778,Food & Drink,Sale,-13.62
7/19/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-69.99
7/19/2024,SAFEWAY #2607,Groceries,Sale,-60.85
7/18/2024,7-ELEVEN 16346,Gas,Sale,-8.58
7/20/2024,LYFT   *1 RIDE 07-19,Travel,Sale,-6.94
7/17/2024,AMZN Mktp US*RS5VO7PK2,Shopping,Sale,-31.97
7/16/2024,24 Hour Fitness USA  I,Health & Wellness,Return,44.7
7/16/2024,Payment Thank You-Mobile,,Payment,31420.95
7/15/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-46.19
7/14/2024,BURGER KING #4447,Food & Drink,Sale,-12.06
7/14/2024,McDonalds 778,Food & Drink,Sale,-10.47
7/12/2024,LYFT   *2 RIDES 07-10,Travel,Sale,-103.92
7/13/2024,Amazon.com*RY61S8IP0,Shopping,Sale,-12.06
7/12/2024,FASTRAK VIOLATION CENT,Travel,Sale,-7
7/13/2024,PAYPAL *GRUBHUB BURGERKIN,Food & Drink,Sale,-16.06
7/9/2024,PAYPAL *GRUBHUB MCDONALDS,Food & Drink,Sale,-14.46
7/9/2024,Amazon Prime*RY45K4E10,Bills & Utilities,Sale,-16.45
7/5/2024,FENG CHA,Groceries,Sale,-14.38
7/8/2024,ROCKY VISTA UNIVERSITY,Education,Sale,-10000
7/8/2024,ROCKY VISTA UNIVERSITY,Education,Sale,-10000
7/8/2024,ROCKY VISTA UNIVERSITY,Education,Sale,-10000
7/8/2024,PAYPAL *CHICK-FIL-A #0387,Food & Drink,Sale,-20.01
7/8/2024,PAYPAL *EBAY US,Shopping,Sale,-16.21
7/6/2024,DOLLAR  #0052112,Travel,Sale,-270.37
