TransactionDate,Description,Category,Type,Amount
07/04/2023,SQ *HOT DOG ON A STICK -,Food & Drink,Sale,-6.54
07/04/2023,WESTSIDE HARDWARE,Home,Sale,-32.75
07/04/2023,WESTSIDE HARDWARE,Home,Return,8.73
07/03/2023,SAFEWAY #2607,Groceries,Sale,-72.4
07/04/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,70.57
07/03/2023,CSJ SMART METERS,Travel,Sale,-2.0
07/03/2023,WESTSIDE HARDWARE,Home,Sale,-8.73
07/03/2023,AMZN Mktp US*TI8KU1UV0,Shopping,Sale,-198.82
07/02/2023,WINGSTOP 570 OLO,Food & Drink,Sale,-16.15
07/02/2023,McDonalds 778,Food & Drink,Sale,-6.97
07/02/2023,McDonalds 778,Food & Drink,Sale,-6.21
06/29/2023,McDonalds 778,Food & Drink,Sale,-9.7
06/30/2023,SAFEWAY #2607,Groceries,Sale,-43.44
06/30/2023,BURGER KING #2012,Food & Drink,Sale,-3.71
06/30/2023,WENDY'S 0526,Food & Drink,Sale,-5.35
05/15/2023,AMZN Mktp US*IA37R3OO3,Shopping,Return,159.75
06/29/2023,PLAYITAGAINSP #10313,Shopping,Sale,-37.77
06/29/2023,EXPEDIA 72593062065685,Travel,Return,86.11
06/29/2023,PANDA EXPRESS #1860,Food & Drink,Sale,-21.19
06/28/2023,AMZN Mktp US*C59TU4OS3,Shopping,Sale,-14.15
06/29/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.23
06/26/2023,SEVEN-ELEVEN,Groceries,Sale,-7.99
06/27/2023,AGODA.COM CARAVELLE,Travel,Return,58.41
06/29/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.23
06/26/2023,SEVEN-ELEVEN,Groceries,Sale,-7.77
06/29/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25
06/26/2023,SEVEN-ELEVEN,Groceries,Sale,-8.47
06/27/2023,PACO'S VALERO,Gas,Sale,-36.79
06/27/2023,McDonalds 27507,Food & Drink,Sale,-11.55
06/29/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.34
06/26/2023,DOUTOR COFFEE,Food & Drink,Sale,-11.41
06/28/2023,EXPEDIA 72593062065685,Travel,Sale,-86.11
06/28/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.2
06/26/2023,LAWSON,Groceries,Sale,-6.88
06/27/2023,LYFT   *1 RIDE 06-26,Travel,Sale,-33.2
